<method=1>,,,
,,NONE,NONE
"Missing RUNE, please contact info@betadwarf.com",缺少RUNE，请联系 info@betadwarf.com,errors_missing_rune,GUI_Errors1
Confirm,确定,words_confirm,GUI_words_confirm
Cancel,取消,words_cancel,GUI_words_cancel
"Logging in, please wait..",登陆中，请稍等……,wait_loggingin,GUI_wait_loggingin
Connecting to '§'....,正连接至“§”……,wait_connectingtogame,GUI_wait_connectingtogame
NAT punchthrough failed. Trying direct connect.,NAT穿透失败。正尝试直连。,wait_tryingdirectconnect,GUI_wait_tryingdirectconnect
Creating game with name '§'....,正创建名为“§”的游戏……,wait_creatinggame,GUI_wait_creatinggame
"You are already trying to log-in, please wait..",你已在登陆，请稍等……,wait_alreadyloggingin,GUI_wait_alreadyloggingin
You are already connected to the chosen game..,你已连接至所选游戏……,wait_alreadyconnectedtochosenhost,GUI_wait_alreadyconnectedtochosenhost
You are already trying to connect to '§',你已经在连接“§”了,wait_alreadyconnecting,GUI_wait_alreadyconnecting
That game is too full,游戏人数已满,lobby_toomanyplayers,GUI_lobby_toomanyplayers
You are waiting for an answer from server,正等待服务器回应,dropin_waitingforanswer,GUI_dropin_waitingforanswer
Server declined your join attempt :(,服务器已拒绝你的加入申请 T-T,dropin_declined_standard,GUI_dropin_declined_standard
This server has temporarily banned you due to too many declined drop-in attempts.,由于你的加入申请被拒绝太多次，该服务器暂时封禁了你。,dropin_declined_toomanyattempts,GUI_dropin_declined_toomanyattempts
_empty_,_empty_,errors_failed_to_connect_1,GUI_errors_failed_to_connect_1
"Result from database didn’t conform to expected standards, please report this on our forums at www.forcedthegame.com/forum",来自数据库的结果和预期标准不一致，请把该问题上报至我们的论坛（www.forcedthegame.com/forum）,errors_failed_log_in_0,GUI_errors_failed_log_in_0
User does not have beta access,该用户没有Beta测试的权限,errors_failed_log_in_1,GUI_errors_failed_log_in_1
Invalid username or password,无效的用户名或密码,errors_failed_log_in_2,GUI_errors_failed_log_in_2
Invalid username or password,无效的用户名或密码,errors_failed_log_in_3,GUI_errors_failed_log_in_3
Demo is sadly no longer available. :( Please support the game and buy it at www.forcedthegame.com to continue playing!,很可惜试用版已下架。T-T 请支持该游戏并到（www.forcedthegame.com）购买以继续游玩！,errors_failed_log_in_4,GUI_errors_failed_log_in_4
"Couldn’t complete database request, probably no internet connection or our server is down.",无法完成数据库请求，有可能是网络无连接或是我们已经撤掉了服务器。,errors_failed_log_in_5,GUI_errors_failed_log_in_5
"Build produced a fatal error attempting to login, please report this on our forums at www.forcedthegame.com/forum",在尝试登陆期间游戏发生了严重错误，请把该问题上报至我们的论坛（www.forcedthegame.com/forum）,errors_failed_log_in_6,GUI_errors_failed_log_in_6
This build is out of date. Please download the newest at our forums located at www.forcedthegame.com/forum,该版本已失效。请到我们的论坛（www.forcedthegame.com/forum）下载最新版本,errors_failed_log_in_7,GUI_errors_failed_log_in_7
Failed to create game with error '§',由于错误“§”导致游戏创建失败。,errors_failed_creating_game,GUI_errors_failed_creating_game
_empty_,_empty_,no_internet_access,GUI_no_internet_access
WARNING,警告,warning_headline,GUI_warning_headline
_empty_,_empty_,failed_headline,GUI_failed_headline
News,新闻,words_news,GUI_words_news
Co-op play,多人合作,words_coopplay,GUI_words_coopplay
Singleplayer,单人游戏,words_singleplayer,GUI_words_singleplayer
Ranking,排位,words_ranking,GUI_words_ranking
Settings,设置,words_settings,GUI_words_settings
Quit,退出,words_quit,GUI_words_quit
Language,语言,words_language,GUI_words_language
Resolution,分辨率,words_resolution,GUI_words_resolution
Quality,质量,words_quality,GUI_words_quality
Music,音乐,words_music,GUI_words_music
Fullscreen,全屏,words_fullscreen,GUI_words
Subtitles,字幕,words_subtitles,GUI_words
Complete,完成,words_complete,GUI_words
Login,登陆,words_login,GUI_words_login
Username,用户名,words_username,GUI_words_username
Password,密码,words_password,GUI_words_password
Remember login,记住登陆设置,remember_login,GUI_remember_login
Forgot your password?,忘记密码了？,forgot_password,GUI_forgot_password
"Finally, some company!",终于，有人来作伴了！,orb_tut_1Company,Dialog_Tutorial
"Greetings, my name is Balfus. I am a Spirit Mentor. <t>*</t>My kind has trained untold generations of gladiators for honorable combat in this very arena. <t>*</t>Starting now, I'll be training you. <t>*</t>The first thing we need to cover is The Se-",你好，我叫巴尔福思，是个精神导师。<t>4.7</t>我的族人已经训练过无数角斗士参加这座超级角斗场的荣耀之战。<t>6.6</t>从现在起，我要对你进行训练。<t>4.1</t>我们要解决的第一件事就是挑——,orb_tut_1OrbIntro,Dialog_Tutorial
"Greetings, my name is Balfus. I am a Spirit Mentor. <t>*</t>Starting now, I'll be training you. <t>*</t>The first thing we need to cover is The Se-",你好，我叫巴尔福思，是个精神导师。<t>4.7</t>从现在起，我要对你进行训练。<t>4.1</t>我们要解决的第一件事就是挑——,orb_tut_1OrbIntroShort,Dialog_Tutorial
Silence servant! I shall inspect the newest batch!,安静，仆人！我要检查这批新人！,orb_tut_1WHAppraisal,Dialog_Tutorial
Pathetic! These scrawny slaves will not even make it through The Selection.,太可悲了！这些瘦巴巴的奴隶甚至连挑选试炼都过不了。,orb_tut_1WHDisappointment,Dialog_Tutorial
"Weaklings! Listen, your gods are not here! <t>5</t>You are livestock. Your people - livestock. <t>7</t>You are bred only to produce gladiators for us. <t>5</t>So far all you have produced are corpses.",弱鸡！听好了，你们的神不在这！<t>5</t>你是家畜。你的族人——也是家畜。<t>7</t>饲养你们的目的就只是为了给我们生产角斗士。<t>5</t>而到目前为止你们生产的全都是尸体。,orb_tut_1WHNoGods,Dialog_Tutorial
"Weaklings! Listen, your gods are not here! <t>5</t>You are bred only to produce gladiators for us. <t>5</t>So far all you have produced are corpses.",弱鸡！听好了，你们的神不在这！<t>5</t>饲养你们的目的就只是为了给我们生产角斗士。<t>5</t>而到目前为止你们生产的全都是尸体。,orb_tut_1WHNoGodsShort,Dialog_Tutorial
That unbearable half-wit!,那白痴真让人受不了！,orb_tut_1Halfwit,Dialog_Tutorial
"That was Wrathhoof, the first guardian. <t>*</t>You will meet him again soon enough. <t>*</t>Now, as I was saying, it is my sacred task to see you through The Selection... <t>*</t>or at least give you a fighting chance. Ready? Good.",那是怒蹄，第一个守护者。<t>3.7</t>你们很快就会再见的。<t>2.4</t>好了，正如我之前所说，我的神圣职责就是让你通过挑选试炼……<t>7</t>或者说至少得给你战斗的机会，准备好了吗？很好。,orb_tut_1IntroofWH,Dialog_Tutorial
Follow me.,跟我来。,orb_tut_1FollowMe,Dialog_Tutorial
"Pick up a weapon, choose your style. <t>*</t>Each has a rich tradition. <t>*</t>Strengths, weaknesses... glory. <t>4.5</t>Don't worry too much about it, you can always change it later on.",挑选适合自己风格的武器吧。<t>3.8</t>每件武器都有着丰富的传统。<t>2.6</t>力量，缺点……荣耀。<t>4.5</t>别考虑太多，你之后随时能换。,orb_tut_2PickWeapon,Dialog_Tutorial
This way.,这边。,orb_tut_2ThisWay,Dialog_Tutorial
